gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse
GSE40239,Development and blind clinical validation of a microRNA based predictor of response to treatment with R-CHOEP in DLBCL,microRNAs er are group of short noncoding RNAs that regulate gene expression at the posttranslational level. It has been shown that mirs are independent predictios of outcome in patients with diffuse large b cell lymphoma treated with r-chop. Outcome in patients with dlbcl lymphoma treated with r-chop. Based on the measured GI50 in 60 human cell lines.,116,Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE40301,GPI-anchored Timp1 protein,"Tissue inhibitor of metalloproteinase 1 (TIMP-1) controls matrix metalloproteinase (MMP) activity through 1:1 stochiometric binding. Human TIMP-1 fused to a glycosylphosphatidylinositol (GPI) anchor (TIMP-1-GPI) shifts the activity of TIMP-1 from the extracellular matrix to the cell surface. TIMP-1-GPI treated renal cell carcinoma cells (RCC) show increased apoptosis and reduced proliferation. Transcriptomic profiling and regulatory pathway mapping were used to identify potential mechanisms driving these effects. Significant changes in inhibitor of DNA binding (IDs), TGF-β1/SMAD and BMP pathways resulted from TIMP-1-GPI treatment. These events were linked to reduced TGF-β1 signaling mediated by inhibition of proteolytic processing of latent TGF-β1 by TIMP-1-GPI. Activity of TIMP-1 from the extracellular matrix to the cell surface. TIMP-1-GPI treated renal cell carcinoma cells (RCC) show increased apoptosis and reduced proliferation. Transcriptomic profiling and regulatory pathway mapping were used to identify potential mechanisms driving these effects. Significant changes in inhibitor of DNA binding (IDs), TGF-β1/SMAD and BMP pathways resulted from TIMP-1-GPI treatment. These events were linked to reduced TGF-β1 signaling mediated by inhibition of proteolytic processing of latent TGF-β1 by TIMP-1-GPI.",12,Expression profiling by array,Homo sapiens,,MPS
GSE40308,Downregulation of specific miRNAs in hyperdiploid multiple myeloma mimics the oncogenic effect of IgH translocations occurring in the non-hyperdiploid subtype,"Currently, multiple myeloma (MM) patients are broadly grouped into a non-hyperdiploid Group (nh-MM), highly enriched for IgH translocations, or into a hyperdiploid Group (h-MM), which is typically characterized by trisomies of some odd-numbered chromosomes.  We compared the miRNA expression profiles of these two groups and we identified 16 miRNAs that were downregulated in the h-MM group, relative to the nh-MM group. We found that target genes of the most differentially expressed miRNAs are directly involved in the pathogenesis of MM; specifically, the inhibition of hsa-miR-425, hsa-miR-152 and hsa-miR-24, which are all downregulated in h-MM, leads to the overexpression of CCND1, TACC3, MAFB, FGFR3 and MYC, which are the also the oncogenes upregulated by the most frequent IgH chromosomal translocations occurring in nh-MM. Importantly, we showed that the downregulation of these specific miRNAs and the upregulation of their targets also occur simultaneously in primary cases of h-MM. These data provide further evidence on the unifying role of cyclin C pathways deregulation as the key mechanism involved in the development of both groups of MM. Finally, they establish the importance of miRNA deregulation in the context of MM, thereby opening up the potential for future therapeutic approaches based on this molecular mechanism.",61,Non-coding RNA profiling by array,Homo sapiens,,FGFR3
GSE40319,Constitutional Trisomy 8 Mosaicism as a Model for Epigenetic Studies of Aneuploidy (microRNA),"To increase our understanding of epigenetic patterns associated with aneuploidy we used constitutional trisomy 8 mosaicism as a model, enabling analyses of single cell clones, harboring either trisomy or disomy 8, from the same patient. We profiled gene and miRNA expression as well as genome-wide and promoter specific DNA methylation and hydroxymethylation patterns in trisomic and disomic fibroblasts, using microarrays and methylated DNA immunoprecipitation.",10,Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE40321,Constitutional Trisomy 8 Mosaicism as a Model for Epigenetic Studies of Aneuploidy,This SuperSeries is composed of the SubSeries listed below.,36,Expression profiling by array; Non-coding RNA profiling by array; Methylation profiling by genome tiling array,Homo sapiens; synthetic construct,,MPS
GSE40738,Whole blood microRNA expression in human lung cancer,"Seventh generation Exiqon locked nucleic acid miRCURY LNA microarrays were used to profile the expression of microRNAs in whole blood of patients with lung cancer and of clinically relevant controls without the disease (individuals with non-cancerous lung nodule, at high risk for cancer because of heavy smoking, or with lung cancer treated by surgical resection). The goal was to examine if whole blood microRNAs can be used for developing a non-invasive assay to diagnose lung cancer.",177,Non-coding RNA profiling by array,Human alphaherpesvirus 2; Cytomegalovirus; Lymphocryptovirus; Betapolyomavirus macacae; Homo sapiens; Mus musculus; Human alphaherpesvirus 1; Human betaherpesvirus 5; Rhadinovirus; Human immunodeficiency virus 1; Merkel cell polyomavirus; Murid gammaherpesvirus 4; Rattus norvegicus; JC polyomavirus; Betapolyomavirus hominis,,MPS
GSE40744,Identification of microRNAs specifically expressed in HCV-associated hepatocellular carcinoma,"Background: Several studies have investigated the association of miRNAs with hepatocellular carcinoma (HCC) but the data are not univocal.  Methods: We performed a microarray study of miRNAs in hepatitis C virus (HCV)-associated HCC and other liver diseases and healthy conditions.  Results and Conclusions: The simultaneous comparison of different liver diseases and normal livers allowed the identification of 18 miRNAs exclusively expressed in HCV-associated HCC, with sensitivity and specificity values of diagnostic-grade.",76,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE40772,Differences in miRNA Detection Levels are Technology and Sequence Dependent [Affymetrix array],We undertook an integrative technological approach to compare miRNA detection capability of three high-throughput commercial platforms.,14,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE40820,Differences in miRNA Detection Levels are Technology and Sequence Dependent,This SuperSeries is composed of the SubSeries listed below.,45,Non-coding RNA profiling by array; Non-coding RNA profiling by high throughput sequencing,Homo sapiens; synthetic construct,,MPS
GSE40942,Fetal mesenchymal stromal cells differentiating towards chondrocytes acquire a gene expression profile resembling human growth plate cartilage.,"We used human fetal bone marrow-derived mesenchymal stromal cells (hfMSCs) differentiating towards chondrocytes as an alternative model for the human growth plate (GP). Our aims were to study gene expression patterns associated with chondrogenic differentiation to assess whether chondrocytes derived from hfMSCs are a suitable model for studying the development and maturation of the GP. hfMSCs efficiently formed hyaline cartilage in a pellet culture in the presence of TGFB3 and BMP6. Microarray and principal component analysis were applied to study gene expression profiles during chondrogenic differentiation. A set of 232 genes was found to correlate with in vitro cartilage formation. Several identified genes are known to be involved in cartilage formation and validate the robustness of the differentiating hfMSC model. KEGG pathway analysis using the 232 genes revealed 9 significant signaling pathways correlated with cartilage formation. To determine the progression of growth plate cartilage formation, we compared the gene expression profile of differentiating hfMSCs with previously established expression profiles of epiphyseal GP cartilage. As differentiation towards chondrocytes proceeds, hfMSCs gradually obtain a gene expression profile resembling epiphyseal GP cartilage. We visualized the differences in gene expression profiles as protein interaction clusters and identified many protein clusters that are activated during the early chondrogenic differentiation of hfMSCs showing the potential of this system to study GP development. To determine the progression of growth plate cartilage formation, we compared the gene expression profile of differentiating hfMSCs with previously established expression profiles of epiphyseal GP cartilage. As differentiation towards chondrocytes proceeds, hfMSCs gradually obtain a gene expression profile resembling epiphyseal GP cartilage. We visualized the differences in gene expression profiles as protein interaction clusters and identified many protein clusters that are activated during the early chondrogenic differentiation of hfMSCs showing the potential of this system to study GP development.",10,Expression profiling by array,Homo sapiens,,FREITEXT_WACHSTUMSFUGE
